Date,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,target
2004-09-20,0.0,0.0,0.0,0.0,0.013654231266386147,0.29067075405386494,0.0,4.3160140390713784e-05,0.007461884482627967
2004-09-21,0.0,0.0,0.0,0.0,-0.006635368416109726,0.0,0.0,3.806830333059522e-05,-0.02809092912383304
2004-09-22,0.000830444638477554,0.0,0.0,0.0,-0.027491859988511794,-1.1614594001237408,0.0,5.4227438041931024e-05,0.009398550359530855
2004-09-23,0.0,0.0,0.0,0.0,0.018693206785416222,0.0,0.0,7.063222241814045e-05,0.0
2004-09-24,0.0,0.0,0.0,0.0,-0.031157345874475998,-0.8038056728062031,0.0,3.659255967869742e-05,0.007029184575369829
2004-09-27,0.0,0.0,0.0,0.0,-0.021230501616087655,-0.423589310677149,0.0,3.900961043966192e-05,0.01325390784046454
2004-09-28,0.005358359366534969,0.0,0.0,0.0,-0.009343991212385095,0.0,0.0,8.42114119573862e-05,0.01670402549368677
2004-09-29,-0.0013169839995968468,0.0,0.0,0.0,0.03704006330188093,0.622457436850526,0.0,6.618980100549289e-05,0.0022012654269012444
2004-09-30,0.0,0.041024898016815615,0.013291161459232865,0.0,0.00646823386233463,0.6131706227619417,0.0,6.242601613883648e-05,-0.0021964305003782103
2004-10-01,0.0,0.0,0.0,0.0,-0.02905717699059147,0.0,0.0,9.523626576334386e-05,0.0027099106777699333
2004-10-04,0.0,0.0,0.0,0.0,0.00901856216321065,0.6000165002087171,0.0,9.495407392327276e-05,0.015033032569856886
2004-10-05,0.005874597808421574,0.05265988209175803,0.0,0.0,-0.00973872007288723,0.0,0.0,7.910622037952783e-05,0.03244541919711219
2004-10-06,0.01007368080746202,0.03201585833628537,0.012560562624254831,0.0,-0.0020010503914819123,0.0,0.0,7.910837619162043e-05,-0.025141290980925768
2004-10-07,0.0020415015459475773,0.03734161616601438,0.012605254207940017,0.0007809452799657257,-0.009115544339044298,0.5770215797426838,0.0,0.00029803555365143794,-0.014050626541190714
2004-10-08,0.0020320874288907082,0.0,0.0,0.0,-0.0218139128249245,0.560146275842047,0.0,0.0002509376611927048,-0.012073078192577191
2004-10-11,0.0005095024465589442,0.004125248432110188,0.004863092984866883,0.0,-0.0022752874541809524,0.5972623378874763,0.0,0.00023492079675620854,-0.00814593099552574
2004-10-12,0.0,0.0,0.0,0.0,-0.0008289409907688186,0.6184968808232754,0.0,0.0004547240391785842,0.03883992443499884
2004-10-13,-0.011057817531161097,0.0,0.0,0.0,0.005425632676289208,0.0,0.0,0.0004393196467542522,0.13128095243666627
2004-10-14,-0.003192160173394843,0.0,0.0,0.0,-0.004027892312218269,0.6492143489304808,0.0,0.00020432562210049402,0.011648213320095246
2004-10-15,0.0015692012253517176,0.0,0.0,0.0,-0.03245953331518892,0.6611809694305633,0.0,0.00015553998195254277,0.049510315074935196
2004-10-18,-0.0019476846704109122,0.0,0.0,0.0,0.01870956965242098,0.6480293607403994,0.0,0.00016202708008074672,-0.007130263683385096
